"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","know_how_use","experienced","easy_use","compass_use"
"33",2044,89,89,33,51.6425342339605,39.6289801233302,46.4938681865475,NA,NA,NA,NA,NA,NA,"Mountains","Batty House","No","male","Batty",NA,NA,NA,"C2",95.3355445,"Mountains","Exp2","Yes",42,41,42,41.6666666666667
"34",2045,90,90,34,65.7499267753674,52.1759184006427,59.9324946147711,0.447185127303149,-32.3380205752343,0.930081168934799,-56.9196074308583,0.225053782625149,-49.0585659230952,"Compass","Sauer Center","No","female","Batty",-32.3380205752343,-56.9196074308583,-49.0585659230952,"C1",90.96925,"Compass","Exp2","Yes",100,95,85,93.3333333333333
"35",2046,91,91,35,43.8956595317026,37.6601619066537,41.2233034066817,NA,NA,NA,NA,NA,NA,"Compass","Sauer Center","No","male","Golledge",NA,NA,NA,"C2",26.09986125,"Compass","Exp2","Yes",100,100,95,98.3333333333333
"36",2047,92,92,36,55.2284579945489,44.9007399135766,50.8022931027037,0.435074164864855,-47.2888305247775,0.468059099838436,-58.2985111778725,0.226862222331622,206.760129216906,"Compass","Sauer Center","No","female","Batty",-47.2888305247775,-58.2985111778725,206.760129216906,"C2",95.110274425,"Compass","Exp2","No",94,90,54,79.3333333333333
"37",2048,93,93,37,33.2132938600186,8.33394226968279,22.5507146070175,0.913909294961195,-20.8341153216262,0.956809034633792,-20.2310765282171,0.836932351416896,13.5007494053105,"Mountains","Batty House","No","male","Batty",-20.8341153216262,-20.2310765282171,13.5007494053105,"C1",35.17316125,"Mountains","Exp2","Yes",60,5,15,26.6666666666667
"38",2049,94,94,38,22.0087417767373,8.97272594152379,16.4218778473601,0.83418147268781,15.4164224056616,0.643414051353689,36.5693439390993,0.908669498317288,-25.1050125216381,"Mountains","","No","female","Batty",15.4164224056616,36.5693439390993,-25.1050125216381,"C2",34.987725,"Mountains","Exp2","Yes",19,19,18,18.6666666666667
"39",2052,95,95,39,31.3301883110524,12.6287330076341,23.3152788953017,0.897131874198195,188.21469789453,0.779187550948569,192.375263806102,0.952421044600048,209.788702634506,"Mountains","","No","female","Batty",188.21469789453,192.375263806102,209.788702634506,"C1",126.13024,"Mountains","Exp2","Yes",25,0,0,8.33333333333333
"40",2053,96,96,40,73.013151780684,66.3734406325249,70.1675612886158,0.018167183922457,-87.9235889926219,0.0259214859082757,52.5059267201178,0.927980500644454,169.788401475646,"Compass","Golledge Hall","No","female","Batty",-87.9235889926219,52.5059267201178,169.788401475646,"C2",108.3229535,"Compass","Exp2","No",59,18,15,30.6666666666667
"41",2054,97,97,41,66.1969471320924,46.5600933306884,57.7811526457764,0.503431356462271,203.479581407116,0.123409231214476,32.8241842610434,0.831548745189149,219.522576171885,"Mountains","Golledge Hall","No","female","Golledge",203.479581407116,32.8241842610434,219.522576171885,"C1",100.15507625,"Mountains","Exp2","No",0,0,0,0
"42",2056,98,98,42,67.8935254728416,26.645696296411,50.2158843972285,0.466761745049757,-81.9885042196029,0.669540518297126,-24.1660451053968,0.722712031757123,-77.992209697667,"Mountains","Golledge Hall","No","female","Golledge",-81.9885042196029,-24.1660451053968,-77.992209697667,"C1",67.3014675,"Mountains","Exp2","No",100,60,60,73.3333333333333
"43",2057,99,99,43,51.1234410574538,10.3652923162185,33.6556630254958,0.28173277511403,188.435347337904,0.813497791104646,79.9810950598892,0.120501816964947,257.727706374017,"Compass","Batty House","No","male","Batty",188.435347337904,79.9810950598892,257.727706374017,"C2",38.9088425,"Compass","Exp2","No",100,100,51,83.6666666666667
"44",2058,100,100,44,16.655448278996,12.2349079732331,14.7609310050976,0.929090936000471,217.213027951975,0.853227219116918,238.26785623774,0.928575080466532,197.440128910855,"Mountains","Batty House","No","female","Batty",217.213027951975,238.26785623774,197.440128910855,"C2",87.19764875,"Mountains","Exp2","Yes",100,20,70,63.3333333333333
"45",2059,101,101,45,54.7593689343403,29.2061003909637,43.807968130036,0.651233070712912,40.2571003078329,0.523006817504442,87.5665647267921,0.941016602367405,7.27720639003305,"Compass","Batty House","No","female","Batty",40.2571003078329,87.5665647267921,7.27720639003305,"C1",67.834645,"Compass","Exp2","No",9,0,0,3
"46",2060,102,102,46,14.2322007953495,8.43345527448289,11.7470241435495,0.918762919906231,-34.3143982632925,0.978891234337702,-35.657036572096,0.890686194074248,-59.6774245262598,"Mountains","Batty House","No","female","Batty",-34.3143982632925,-35.657036572096,-59.6774245262598,"C2",12.28007325,"Mountains","Exp2","No",13,14,16,14.3333333333333
"47",2061,103,103,47,47.6849992765677,28.4561315714877,39.4440559743905,0.626725590458261,136.091011273736,0.678850068646952,108.403679217997,0.430316174594175,148.417463000671,"Compass","Batty House","No","female","Batty",136.091011273736,108.403679217997,148.417463000671,"C2",40.15663625,"Compass","Exp2","No",100,100,70,90
"48",2062,104,104,48,50.2841846018843,48.0814078154242,49.3401374076871,0.684930926000575,197.104739800078,0.444410212572623,225.66827948389,0.537070061632971,197.983732143423,"Mountains","Golledge Hall","No","male","Golledge",197.104739800078,225.66827948389,197.983732143423,"C1",103.71869875,"Mountains","Exp2","Yes",20,20,21,20.3333333333333
"49",2063,105,105,49,47.0575147859571,13.0358111294175,32.4767846474401,0.654470716230092,195.275011689754,0.727859809906927,225.386463935082,0.390296271368831,187.960553566188,"Compass","Batty House","No","female","Batty",195.275011689754,225.386463935082,187.960553566188,"C2",80.544031625,"Compass","Exp2","Yes",100,80,0,60
"50",2064,106,106,50,53.9624819147748,29.1447990225914,43.326332103839,0.5609647529536,-10.8388012636287,0.693266993728919,-74.0032534727739,0.433630324374074,-15.0646606432541,"Mountains","Batty House","No","male","Batty",-10.8388012636287,-74.0032534727739,-15.0646606432541,"C1",113.77762625,"Mountains","Exp2","No",62,23,53,46
"51",2065,107,107,51,69.4028907906557,52.4719577572331,62.1467766334746,0.561011930367175,-85.9028682934771,0.745798429411266,-83.1897224160947,0.169361297593969,252.253494094276,"Compass","Batty House","No","male","Batty",-85.9028682934771,-83.1897224160947,252.253494094276,"C2",49.84285625,"Compass","Exp2","Yes",86,72,81,79.6666666666667
