"","start_landmark","participant","target_landmark","point_order","participant_response","within_between","participant_360_response","actual_direction","actual_360_direction","mountain_0_p_angle0","error","mountain_0_p_angle360"
"143","Golledge Hall",2062,"Mountain Range",33,44.03112,"other",44.03112,131.5,131.5,-87.46888,87.46888,272.53112
"144","Golledge Hall",2075,"Compass North",38,90.05727,"other",90.05727,131.5,131.5,-41.44273,41.44273,318.55727
"145","Golledge Hall",2078,"Mountain Range",38,101.0577,"other",101.0577,131.5,131.5,-30.4423,30.4423,329.5577
"146","Golledge Hall",2064,"Mountain Range",37,-92.18658,"other",267.81342,131.5,131.5,136.31342,136.31342,136.31342
"147","Golledge Hall",2079,"Compass North",37,117.2828,"other",117.2828,131.5,131.5,-14.2172,14.2172,345.7828
"148","Golledge Hall",2084,"Mountain Range",35,154.5475,"other",154.5475,131.5,131.5,23.0475,23.0475,23.0475
"149","Golledge Hall",2076,"Mountain Range",38,-93.62038,"other",266.37962,131.5,131.5,134.87962,134.87962,134.87962
"150","Golledge Hall",2065,"Compass North",32,13.62382,"other",13.62382,131.5,131.5,-117.87618,117.87618,242.12382
"151","Golledge Hall",2074,"Mountain Range",37,72.27941,"other",72.27941,131.5,131.5,-59.22059,59.22059,300.77941
"152","Golledge Hall",2083,"Mountain Range",36,71.06329,"other",71.06329,131.5,131.5,-60.43671,60.43671,299.56329
"153","Harris Hall",2011,"Compass North",19,-3.782064,"other",356.217936,46,46,310.217936,49.782064,310.217936
"154","Harris Hall",2008,"Mountain Range",18,-35.83782,"other",324.16218,46,46,278.16218,81.83782,278.16218
"155","Harris Hall",2002,"Mountain Range",23,2.006231,"other",2.006231,46,46,-43.993769,43.993769,316.006231
"156","Harris Hall",2006,"Mountain Range",22,-17.7698,"other",342.2302,46,46,296.2302,63.7698,296.2302
"157","Harris Hall",2004,"Mountain Range",18,34.68788,"other",34.68788,46,46,-11.31212,11.31212,348.68788
"158","Harris Hall",2007,"Compass North",20,55.02776,"other",55.02776,46,46,9.02776,9.02776,9.02776
"159","Harris Hall",2012,"Mountain Range",19,103.8193,"other",103.8193,46,46,57.8193,57.8193,57.8193
"160","Harris Hall",2030,"Mountain Range",23,53.70138,"other",53.70138,46,46,7.70138000000001,7.70138000000001,7.70138000000001
"161","Harris Hall",2001,"Mountain Range",19,-98.70709,"other",261.29291,46,46,215.29291,144.70709,215.29291
"162","Harris Hall",2003,"Mountain Range",21,-107.4707,"other",252.5293,46,46,206.5293,153.4707,206.5293
"163","Harris Hall",2005,"Mountain Range",21,56.92571,"other",56.92571,46,46,10.92571,10.92571,10.92571
"164","Harris Hall",2017,"Compass North",23,56.12613,"other",56.12613,46,46,10.12613,10.12613,10.12613
"165","Harris Hall",2015,"Compass North",23,-42.11332,"other",317.88668,46,46,271.88668,88.11332,271.88668
"166","Harris Hall",2018,"Mountain Range",20,-105.11,"other",254.89,46,46,208.89,151.11,208.89
"167","Harris Hall",2019,"Compass North",23,54.49393,"other",54.49393,46,46,8.49393000000001,8.49393000000001,8.49393000000001
"168","Harris Hall",2027,"Compass North",20,-44.64778,"other",315.35222,46,46,269.35222,90.64778,269.35222
"169","Harris Hall",2021,"Compass North",18,50.57043,"other",50.57043,46,46,4.57043,4.57043,4.57043
"170","Harris Hall",2013,"Compass North",17,133.9689,"other",133.9689,46,46,87.9689,87.9689,87.9689
"171","Harris Hall",2026,"Mountain Range",20,-11.72434,"other",348.27566,46,46,302.27566,57.72434,302.27566
"172","Harris Hall",2023,"Compass North",22,-48.72183,"other",311.27817,46,46,265.27817,94.72183,265.27817
"173","Harris Hall",2037,"Mountain Range",20,40.9447,"other",40.9447,46,46,-5.0553,5.0553,354.9447
"174","Harris Hall",2016,"Mountain Range",19,-29.31117,"other",330.68883,46,46,284.68883,75.31117,284.68883
"175","Harris Hall",2014,"Mountain Range",23,53.09943,"other",53.09943,46,46,7.09943000000001,7.09943000000001,7.09943000000001
"176","Harris Hall",2029,"Compass North",20,49.65876,"other",49.65876,46,46,3.65876,3.65876,3.65876
"177","Harris Hall",2031,"Compass North",16,68.66923,"other",68.66923,46,46,22.66923,22.66923,22.66923
"178","Harris Hall",2033,"Compass North",23,-149.5455,"other",210.4545,46,46,164.4545,164.4545,164.4545
"179","Harris Hall",2028,"Mountain Range",16,-74.14342,"other",285.85658,46,46,239.85658,120.14342,239.85658
"180","Harris Hall",2025,"Compass North",21,48.55486,"other",48.55486,46,46,2.55486,2.55486,2.55486
"181","Harris Hall",2039,"Mountain Range",16,170.8085,"other",170.8085,46,46,124.8085,124.8085,124.8085
"182","Harris Hall",2022,"Mountain Range",20,17.27327,"other",17.27327,46,46,-28.72673,28.72673,331.27327
"183","Harris Hall",2040,"Mountain Range",23,109.7871,"other",109.7871,46,46,63.7871,63.7871,63.7871
"184","Harris Hall",2067,"Compass North",19,53.7693,"other",53.7693,46,46,7.7693,7.7693,7.7693
"185","Harris Hall",2049,"Mountain Range",23,85.55538,"other",85.55538,46,46,39.55538,39.55538,39.55538
"186","Harris Hall",2061,"Compass North",20,37.69429,"other",37.69429,46,46,-8.30571,8.30571,351.69429
"187","Harris Hall",2024,"Mountain Range",21,-51.94423,"other",308.05577,46,46,262.05577,97.94423,262.05577
