"","participant","X.2","X.1","X","between","within","overall_pointing","Overall_rsquared","Overall_angle","Batty_rsquared","Batty_angle","Golledge_rsquared","Golledge_angle","Condition","First_Building_in_model.building","Pilot","sex","first_route","Overall_angle_corrected","Batty_angle_corrected","Golledge_angle_corrected","first_connecting_route","correct_absolute_error_other","condition_all","exp","Video_Game_Play","group","SBSOD_avg"
"32",50,32,32,32,45.4231406219164,14.361115776031,32.1108442593941,0.436332879626055,157.92151120733,0.716489735264444,162.999650537188,0.380353546387655,33.6612738667089,"No","Batty House","No","male","Golledge",157.92151120733,162.999650537188,33.6612738667089,"C2",NA,"Control","Exp1","No","Control",3.4
"33",51,33,33,33,15.2312647304736,6.48493161977853,11.4828362544614,0.930288983175273,16.1857129062528,0.974835553960579,6.01699990096824,0.918595471552303,-17.8218045960743,"Yes","Sauer Center","No","male","Batty",16.1857129062528,6.01699990096824,342.178195403926,"C2",NA,"Compass","Exp1","Yes","Experiment",1.66666666666667
"34",52,34,34,34,72.3178272361691,58.5708810308605,66.4262788624654,0.105342047065359,-39.0387951238461,0.818357414088976,-71.0807922079633,0.691278339160609,159.656199193515,"No","Batty House","No","female","Batty",320.961204876154,288.919207792037,159.656199193515,"C1",NA,"Control","Exp1","No","Control",2.73333333333333
"35",53,35,35,35,52.1628522222305,16.0707535237115,36.6948099228652,0.654855162224746,-59.999542916505,0.792320054939627,-58.9391578617592,0.694186236594356,-17.4815382325283,"Yes","Batty House","No","male","Batty",300.000457083495,301.060842138241,342.518461767472,"C1",NA,"Compass","Exp1","Yes","Experiment",5.93333333333333
"36",54,36,36,36,32.0901456343851,33.5842425178101,32.7304728701387,0.716478999371516,-32.9573317208985,0.187539343637042,-76.8111554051505,0.807882065899572,-6.48715385675351,"No","Batty House","No","female","Golledge",327.042668279102,283.18884459485,353.512846143246,"C2",NA,"Control","Exp1","No","Control",4
"37",55,37,37,37,22.025359485448,9.61066296455382,16.7047752622077,0.957889251333584,-22.6208038691561,0.898731724684719,-21.9188731505659,0.900758621750951,-14.9893361636777,"Yes","Lynch Station","No","female","Batty",337.379196130844,338.081126849434,345.010663836322,"C2",NA,"Compass","Exp1","No","Experiment",2.8
"38",56,38,38,38,26.1062054135727,16.5366846212318,22.0049822168552,0.821841891659201,-44.6356493556064,0.896806874515217,-35.1340498505386,0.85767358001079,-60.6379493519661,"No","","No","male","Batty",315.364350644394,324.865950149461,299.362050648034,"C2",NA,"Control","Exp1","Yes","Control",2.93333333333333
"39",57,39,39,39,56.6547858517087,23.7744506889803,42.5632136391108,0.541674816658923,-81.0055826308563,0.827152179190069,-57.3373463746932,0.0511842533021132,257.927560488401,"Yes","Sauer Center","No","male","Golledge",278.994417369144,302.662653625307,257.927560488401,"C1",NA,"Compass","Exp1","Yes","Experiment",3
"40",58,40,40,40,75.9517954871475,34.8028964212585,58.3165530303379,0.25566650876315,-0.915845735654089,0.0354738018694794,190.256762439577,0.409072757933646,125.424631245443,"No","Batty House","No","male","Batty",359.084154264346,190.256762439577,125.424631245443,"C1",NA,"Control","Exp1","Yes","Control",2.66666666666667
"41",59,41,41,41,69.6455569489273,42.0636686414151,57.8247476742792,0.322205683928319,-22.0014162813114,0.124752015609957,246.740657033982,0.0151565844434216,119.548207195047,"Yes","Batty House","No","female","Batty",337.998583718689,246.740657033982,119.548207195047,"C1",NA,"Compass","Exp1","No","Experiment",4.73333333333333
"42",60,42,42,42,54.5991583744967,16.7980728683209,38.3986931575642,0.482841158775826,18.6226101322579,0.925449332598428,12.7410230446483,0.820572764944047,-14.3899980769188,"No","Golledge Hall","No","male","Golledge",18.6226101322579,12.7410230446483,345.610001923081,"C2",NA,"Control","Exp1","Yes","Control",3.4
"43",61,43,43,43,78.6734530305349,50.8086669040736,66.73140183348,0.132139981279628,29.7771980866655,0.0329541566416072,102.804879296583,0.288594108539177,-79.7008949264946,"Yes","Batty House","No","male","Golledge",29.7771980866655,102.804879296583,280.299105073505,"C1",NA,"Compass","Exp1","Yes","Experiment",4.8
"44",62,44,44,44,20.5999295229145,7.6842993400879,15.0646594445602,0.961578131224757,6.27896821879988,0.951915658575023,7.89663089479526,0.848265387372269,13.2860319193517,"No","Lynch Station","No","male","Batty",6.27896821879988,7.89663089479526,13.2860319193517,"C2",NA,"Control","Exp1","No","Control",3.33333333333333
"45",63,45,45,45,59.0628759225155,34.1910061166262,48.4035031485629,0.352385613005516,4.96059845388632,0.411254878806068,-79.9465597077741,0.415966074665174,86.2363520101892,"Yes","Batty House","No","female","Batty",4.96059845388632,280.053440292226,86.2363520101892,"C1",NA,"Compass","Exp1","No","Experiment",3.93333333333333
"46",64,46,46,46,64.5306090340667,34.631960960681,51.7169027169014,0.68084989543113,207.047779848156,0.272146676893785,224.812090920576,0.958837694426647,265.309751828091,"No","Sauer Center","No","female","Golledge",207.047779848156,224.812090920576,265.309751828091,"C2",NA,"Control","Exp1","Yes","Control",4.6
"47",65,47,47,47,69.7392039466771,61.5596682364349,66.2336886422876,0.246746848512542,164.383493053302,0.792536698668329,144.727652267089,0.0444411029152518,150.30848589189,"Yes","Golledge Hall","No","female","Golledge",164.383493053302,144.727652267089,150.30848589189,"C2",NA,"Compass","Exp1","No","Experiment",4.4
"48",66,48,48,48,22.2618608459743,13.9379101655284,18.6944534114975,0.843561501173692,168.653923738901,0.879636271647894,136.083631867366,0.849775238196556,172.637935604463,"No","Golledge Hall","No","male","Golledge",168.653923738901,136.083631867366,172.637935604463,"C2",NA,"Control","Exp1","Yes","Control",2.73333333333333
"49",67,49,49,49,19.9602643810043,7.692973456843,14.7028539849352,0.95616240149866,-16.5043203012625,0.95987734450425,-34.6043593872626,0.978255492986539,-12.6405092883121,"Yes","Batty House","No","male","Batty",343.495679698737,325.395640612737,347.359490711688,"C2",NA,"Compass","Exp1","Yes","Experiment",4.13333333333333
"50",68,50,50,50,67.0382285332159,44.4038001012135,57.3377592052149,0.73797141016139,43.8756363419573,0.422403748195527,-9.54365766461688,0.936481905411647,89.6315794105073,"No","Tobler Museum","No","female","Batty",43.8756363419573,350.456342335383,89.6315794105073,"C2",NA,"Control","Exp1","No","Control",5.73333333333333
"51",69,51,51,51,65.4555026835195,71.1315344063347,67.8880877075832,0.12041582061357,72.0979762199066,0.414666196873074,65.8197142848654,0.666437027857422,161.640467286608,"Yes","Harris Hall","No","female","Batty",72.0979762199066,65.8197142848654,161.640467286608,"C1",NA,"Compass","Exp1","No","Experiment",5.93333333333333
"52",71,52,52,52,21.4848039730065,7.13869370481734,15.3364710009254,0.953524055693076,2.41126975362198,0.994092416809424,4.41161163915512,0.949293843676593,-17.2706559746461,"Yes","Batty House","No","male","Batty",2.41126975362198,4.41161163915512,342.729344025354,"C1",NA,"Compass","Exp1","Yes","Experiment",2.93333333333333
"53",72,53,53,53,36.5469188635646,21.1542920672602,29.9500788080056,0.950046298323882,-24.7891279156707,0.935806076218456,-36.9268347881722,0.858106317630343,-15.4042921494524,"No","Batty House","No","female","Batty",335.210872084329,323.073165211828,344.595707850548,"C1",NA,"Control","Exp1","No","Control",3.6
"54",73,54,54,54,66.8768072921863,43.8412347460528,57.0044190581291,0.0449267418776301,-64.4318099742621,0.0480810822945089,92.7463100985914,0.265844909176072,236.137617543046,"Yes","Golledge Hall","No","female","Golledge",295.568190025738,92.7463100985914,236.137617543046,"C1",NA,"Compass","Exp1","No","Experiment",3.13333333333333
"55",2008,55,55,1,28.9013515884775,11.2714427895321,21.3456763889295,0.723658259985186,-42.9689469236222,0.950553909944764,-33.9957746634865,0.62100985656985,-32.2816517153712,"Mountains","Batty House","No","male","Golledge",317.031053076378,326.004225336514,327.718348284629,"C2",114.957016,"Mountains","Exp2","Yes","Experiment",2.8
"56",2011,56,56,2,69.1109552778601,12.4486488479968,44.8271096650615,0.469343156435849,214.519640280629,0.272677799360105,214.158256841338,0.908200210259281,-62.4323179250837,"Compass","Golledge Hall","No","female","Golledge",214.519640280629,214.158256841338,297.567682074916,"C2",103.1766455,"Compass","Exp2","No","Experiment",3.86666666666667
