"participant","date","model number","building","x","y","error"
"2035","2022-04-16 15:11:40 UTC","0","Sauer Center","207","116","432.4869940240978"
"2035","2022-04-16 15:11:40 UTC","0","Tobler Museum","13","195","485.51930960570456"
"2035","2022-04-16 15:11:40 UTC","0","Batty House","43","475","203.62956563328422"
"2035","2022-04-16 15:11:40 UTC","0","Lynch Station","155","407","317.0772776469484"
"2035","2022-04-16 15:11:40 UTC","0","Harris Hall","486","402","323.1361941968123"
"2035","2022-04-16 15:11:40 UTC","0","Harvey House","370","453","82.46211251235322"
"2036","2022-04-16 17:24:05 UTC","0","Batty House","436","39","470.7122263124254"
"2036","2022-04-16 17:24:05 UTC","0","Lynch Station","489","145","477.4620403759863"
"2036","2022-04-16 17:24:05 UTC","0","Harris Hall","297","348","146.99659860010368"
"2036","2022-04-16 17:24:05 UTC","0","Harvey House","26","335","307.12212554617423"
"2036","2022-04-16 17:24:05 UTC","0","Tobler Museum","410","468","355.81596366661233"
"2036","2022-04-16 17:24:05 UTC","0","Sauer Center","644","418","413.43681500321185"
"2036","2022-04-16 17:24:05 UTC","0","Golledge Hall","94","13","546.0622675116822"
"2036","2022-04-16 17:24:05 UTC","0","Snow Church","241","147","478.52795111675556"
"2037","2022-04-16 18:49:38 UTC","0","Sauer Center","444","21","181.70580618131055"
"2037","2022-04-16 18:49:38 UTC","0","Tobler Museum","184","77","312.25950746134214"
"2037","2022-04-16 18:49:38 UTC","0","Snow Church","617","147","114.73883387938018"
"2037","2022-04-16 18:49:38 UTC","0","Golledge Hall","527","328","52.32590180780452"
"2037","2022-04-16 18:49:38 UTC","0","Harris Hall","294","289","101.04454463255303"
"2037","2022-04-16 18:49:38 UTC","0","Lynch Station","1","254","130.4645545732633"
"2037","2022-04-16 18:49:38 UTC","0","Harvey House","435","429","151.71354586852158"
"2037","2022-04-16 18:49:38 UTC","0","Batty House","24","434","162.02777539668932"
"2038","2022-04-16 20:12:44 UTC","0","Lynch Station","623","132","611.0523709143105"
"2038","2022-04-16 20:12:44 UTC","0","Batty House","660","15","683.1822597228356"
"2038","2022-04-16 20:12:44 UTC","0","Harris Hall","384","174","176.81911661356077"
"2038","2022-04-16 20:12:44 UTC","0","Harvey House","132","49","465.12363947664494"
"2038","2022-04-16 20:12:44 UTC","0","Golledge Hall","89","310","475.3798481214785"
"2038","2022-04-16 20:12:44 UTC","0","Snow Church","15","419","732.937241515261"
"2038","2022-04-16 20:12:44 UTC","0","Sauer Center","114","471","691.5757369948717"
"2038","2022-04-16 20:12:44 UTC","0","Tobler Museum","223","376","370.69664147386067"
